Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Morgan Barron,Hartford,C,8,1,1,2,-4,4,0,0,0,0,0,0,0,0,0,0,9,11.1,2,0,6,0.44,7,2,0,0,0,0,0,0,13:30,0:00,0:00,2,6,0,5.88,
Haydn Fleury,Utica,LD,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,5,0,10,0,0,0,0,0,0,0,18:30,0:00,0:00,5,2,0,8.00,
Semyon Der-Arguchintsev,Toronto,C,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,10,2,0,0,1,0,0,0,0,0,0,0,11:33,0:00,0:00,3,3,0,7.00,
Esbjörn Mellqvist,Iowa,C,3,0,2,2,-5,0,0,1,1,0,0,0,0,0,0,0,2,0.0,1,2,0,0.54,1,0,0,0,0,0,0,0,15:22,1:00,0:47,1,6,0,6.00,
Alexander Holtz,Charlotte,RW/LW,7,0,2,2,-8,0,0,0,0,0,0,0,0,0,0,0,20,0.0,1,1,3,0,4,0,0,0,0,0,0,0,14:56,1:51,0:00,5,13,0,6.43,
Daniel Laatsch,San Antonio,LD/RD,11,0,2,2,-9,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0,9,18,0,25,0,0,0,0,0,0,0,18:16,0:00,0:00,10,19,0,6.09,
Dustin Manz,San Antonio,C,8,0,2,2,-1,2,0,0,0,0,0,0,0,0,0,0,4,0.0,0,3,5,0.39,3,1,0,0,0,0,0,0,12:36,0:00,0:00,3,4,0,5.63,
Mark Pysyk,Carolina,LD/RD,9,0,2,2,-4,2,0,0,0,0,0,0,0,0,0,0,8,0.0,0,3,11,0,4,1,0,0,0,0,0,0,14:12,0:00,0:00,3,7,0,6.44,
Nick DeSimone,San Jose,LD,6,0,2,2,-7,4,0,0,0,0,0,0,0,0,0,0,6,0.0,0,4,8,0,6,2,0,0,0,0,0,0,14:40,0:00,0:10,3,10,0,6.50,
Tyler Kelleher,Hershey,RW/C,12,0,2,2,-9,6,0,0,0,0,0,0,0,0,0,0,21,0.0,1,1,5,0,0,3,0,0,0,0,0,0,12:51,0:00,0:00,6,15,0,6.42,
Nicholas Robertson,Toronto,C/LW,21,1,0,1,-6,2,0,0,0,0,0,0,0,0,0,0,17,5.9,13,3,1,0,4,1,0,0,0,0,0,0,11:23,0:00,0:00,1,7,0,6.38,
Aatu Räty,Texas,LW,5,1,0,1,-7,2,0,0,0,0,0,0,0,0,0,0,7,14.3,1,0,0,0,2,1,0,0,0,0,0,0,13:48,0:00,0:00,1,8,0,6.40,
Nils Andersson,San Diego,RD,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0,2,3,0,15,0,0,0,0,0,0,0,18:29,0:00,0:11,10,10,0,6.60,
Justin Bergeron,Toronto,LD/RD,3,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,5,1,1,0,3,0,0,0,0,0,0,0,14:40,0:00,0:08,1,3,0,7.00,
Joel Farabee,Hershey,LW,8,0,1,1,-2,2,0,0,0,0,0,0,0,0,0,0,12,0.0,0,2,4,0,2,1,0,0,0,0,0,0,12:37,0:00,0:00,3,5,0,6.63,
Tyler Tucker,Tulsa,LD/RD,12,0,1,1,-15,2,0,0,0,0,0,0,0,0,0,0,16,0.0,1,8,11,0,9,1,0,0,0,0,0,0,19:05,0:07,0:07,8,23,0,5.50,
Alec Rauhauser,Hershey,LD/RD,9,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,10,0.0,4,6,5,0,15,3,0,0,0,0,0,0,20:11,0:32,1:46,11,11,0,6.67,
Michael Gildon,Stockton,LW,5,0,1,1,-1,6,0,0,0,0,0,0,0,0,0,0,4,0.0,3,1,0,0,0,3,0,0,0,0,0,0,10:29,0:00,0:00,2,3,0,6.60,
Jake Lee,Milwaukee,LD,27,0,1,1,-18,14,0,0,0,0,0,0,0,0,0,0,24,0.0,9,11,56,0,47,7,0,0,0,0,0,0,16:56,0:00,0:05,17,35,0,6.26,
MacKenzie Weegar,Pittsburgh,RD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3,0,0,0,4,0,0,0,0,0,0,0,20:30,1:00,0:34,1,1,0,7.00,
Ryan Zuhlsdorf,Chicago,LD/RD,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,5,0,4,0,0,0,0,0,0,0,14:53,0:00,0:00,2,2,0,6.33,
Blake Murray,Fort Wayne,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0.42,0,0,0,0,0,0,0,0,15:00,0:00,1:02,0,1,0,5.00,
Carter Savoie,Rochester,LW,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,6,0.0,1,0,1,0,0,0,0,0,0,0,0,0,14:20,0:00,0:00,3,4,0,6.67,
Brogan Rafferty,Utica,RD/LD,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,1,8,0,2,0,0,0,0,0,0,0,22:50,0:00,0:44,4,5,0,6.00,
Michael Farren,Rochester,C,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0.32,0,0,0,0,0,0,0,0,11:00,0:00,0:00,0,3,0,5.00,
